صفق	صَفْق,صَفَق-ِ,صَفَّق,صَفَق
سقائها	سِقاء,سَقّاء
سفينته	سَفِينَة
سفهاؤهم	سَفِيه
سفها	سَفَه,سَفَّه,سَفُه,سَفِه-َ
سفلة	سافِل,سُفْل,سِفْلَة
سفعت	سَفَع-َ
سفرجلة	سَفَرْجَل
سفرته	سُفْرَة,سَفَر-ِ,سَفَّر,سَفْرَة
سفح	سَفْح,سَفَح-َ
سعيين	NOTFOUND
سعيدبن	NOTFOUND
سعيدالاشج	NOTFOUND
سعيا	سَعْي,سَعَى-َ
سعفة	سَعَفَة,سَعَف
سعف	سَعَف
سعروا	سَعَّر,سَعَر-َ
سعرا	سَعَّر,سَعَر-َ,سِعْر,سَعِير,سُعْر
سعدة	سَعْد,سَعْدَة
سعادة	سَعادَة
سعاتك	NOTFOUND
سعاة	سَعَى-َ
سطيحتين	سَطِيح
سطعت	سَطَع-َ
سطع	سَطْع,سَطَع-َ
سطرين	NOTFOUND
سرينا	سِرِّيّ,سَرَّى,سَرَى-ِ,سَرِيّ,سُرِّيّ
سريري	سَرِير,سَرِيرِيّ
سريرتي	سَرِيرَة
سرور	سُرُور
سروان	NOTFOUND
سرني	سَرّ
سرعتي	سُرْعَة
سرعتهم	سَرَّع,سُرْعَة,سَرُع
سرحه	سَرَح-َ,سَرِح-َ,سَرَّح
سرحتني	سَرَح-َ,سَرَّح,سَرِح-َ
سرحات	NOTFOUND
سرجكم	سَرَج-َ,سِراج,سَرَّج,سَرْج
سرجا	سَرَج-َ,سِراج,سَرَّج,سَرْج
سربال	سِرْبال
سرب	سُرْبَة,سَرِب-َ,سَرَّب,سَرَب,سِرْب
سرايا	سَراي,سَرِيَّة
سرارينا	سُرِّيَّة
سرادقها	سُرادِق
سرادقه	سُرادِق
سرادق	سُرادِق
سراحا	سَراح
سراجه	سِراجَة,سِراج,سَرّاج
سراجنا	سِراج,سَرّاج
سراجك	سِراج,سَرّاج
سرابيل	سِرْبال
سديس	NOTFOUND
سدوها	سَدَّى,سَدّ
سدوسي	NOTFOUND
سدوا	سَدَّى,سَدّ,سَدّ-ِ
سدلت	سَدَل,سَدَّل
سدسها	سَدَّس,سُدْس
سدرها	سِدْر
سدرا	سِدْر,سَدِر-َ
سدر	سِدْر,سَدِر-َ
سددني	سَدَّد
سددناها	سَدَّد,سَدّ
سدانة	سِدانَة
سداد	سُداد,سَداد,سِداد
سداؤها	NOTFOUND
سخي	سَخِي-َ,سَخِيّ
سخطت	سَخِط-َ
سخريا	سُخْرِيّ
سخرها	سَخِر-َ,سَخَّر
سخره	سُخْرَة,سَخِر-َ,سَخَّر
سخت	ساخ-ِ,سَخا,ساخ
سخابها	NOTFOUND
سحيق	سَحِيق
سحور	سِحْر,سَحْر,سَحُور
سحره	سِحْر,سَحْر,سَحَر,سَحَّر,سَحَر-َ
سحرتكم	سَحَّر,سَحَر-َ
سحبا	سَحَب-َ,سُحُب,سَحْب
سحابات	سَحابَة
سجينا	سَجَّى,سَجِين
سجودي	سُجُود,ساجِد
سجودهم	سُجُود,ساجِد
سجنه	سَجْن,سَجَن,سِجْن
سجنة	سَجْن,سَجَن,سِجْن
سجلين	سِجِلّ
سجدها	سَجَد,ساجِد
ستمر	مار,مار-ِ,أَمار,أَمَرّ,مَرّ
ستكتب	أَكْتَب,كَتَب
ستغلبون	غَلَب-ِ
ستغلب	غَلَب-ِ
ستعلم	أَعْلَم,عَلِم-َ,عَلَّم
ستعترف	ٱِعْتَرَف
ستصيبه	أَصاب
ستصد	صاد-ِ,أَصْدَى,أَصَدّ,صَدَّى,صَدّ,وَصَد-ِ,صَدِي-َ
ستصالحكم	صالَح
ستشرفون	أَشْرَف,شَرُف,شَرَّف
سترناه	رَنّ-ِ,سَتَر,سَتَّر
سترض	رَضّ,راض,أَرْضَى,رَضَّى,رَضِي-َ
ستخرج	خَرَج,أَخْرَج,خَرَّج
ستبتلي	بَتَل-ُِ,ٱِبْتَلَى,ٱِبْتَلّ,بَتَّل
ستاتيهم	أَتَى-ِ
ستاتون	أَتَى-ِ
سبيها	سَبْي,سَبِيّ
سبيكة	سَبِيكَة
سبوك	سَبّ,سَبَى-ِ
سبله	سَبَل,سَبْلَة,سَبَلَة,سَبِيل,سَبَّل
سبل	سَبَل,سَبَّل,سَبِيل
سبقوك	سَبَق-ُِ,سَبَّق
سبقناه	سَبَق-ُِ,سَبَّق
سبقتنا	سُبْقَة,سَبَق-ُِ,سَبْقَة,سَبَّق
سبقتموهم	سَبَق-ُِ,سَبَّق
سبقتم	سَبَق-ُِ,سَبَّق
سبقا	سَبْق,سَبَق-ُِ,سَبَق,سَبَّق
سبعها	سُبْع,سَبْع,سَبَّع
سبحي	سُبْحَة
سبحها	سُبْحَة,سَبَح-َ,سَبَّح
سبحات	سُبْحَة,سَبْحَة
سبحا	سُبْحَة,سَبَح-َ,سَبَّح
سبتيتيك	سَبْتِيّ
سبتي	سَبْتِيّ,سُبَّة,سَبْت,سِبِتّ,سَبَّة,سَبَت
سبة	سَبّ,سَبَه,سُبَّة,سَبَّة
سببي	سَبَب,سَبَبِيّ
سببها	سَبَب,سَبَّب
سبالة	سَبَلَة
سبابته	سَبّابَة,سَبّاب
سب	سَبّ
ساوي	ساوَى
ساومه	ساوَم
ساومت	ساوَم
سامسك	مَسَى,مَسَّك,مَسَّى,أَمْسَك,مَسَك,أَمْسَى,وَمَس-ِ,ماس-ِ,مَسّ-َ
